model,initialization,accuracy,precision,recall,f1
sequential,gaussian,0.8590146035212228,0.7393617021276596,0.6343411294922989,0.68283696653362
sequential,constant,0.8592875665347346,0.7496542185338866,0.6183685111237878,0.6777117849327915
sequential,xavier,0.856421454892862,0.7382732834806254,0.6195094124358242,0.673697270471464
custom,gaussian,0.8569673809198853,0.7713625866050808,0.5715915573302909,0.6566186107470511
custom,constant,0.8583321959874437,0.7224642190416926,0.6622932116371933,0.6910714285714286
custom,xavier,0.8561484918793504,0.7347212894560108,0.6240730176839704,0.6748920419494141
