model,accuracy,precision,recall,f1
mlp_baseline,0.9259259259259259,0.9302779225471106,0.9259259259259259,0.9261613688584907
cnn_padding1_stride1_max_16,0.9407407407407408,0.9418665923054858,0.9407407407407408,0.9403173898113364
cnn_padding0_stride1_max_16,0.9259259259259259,0.926520545723611,0.9259259259259259,0.9253178594491366
cnn_padding1_stride1_avg_16,0.9111111111111111,0.9171474211484097,0.9111111111111111,0.9099951769322979
cnn_padding1_stride1_max_32,0.9666666666666667,0.9675436355896126,0.9666666666666667,0.9665346128854901
cnn_padding1_stride1_max_16_conv1x1,0.9259259259259259,0.9353361992945325,0.9259259259259259,0.9252357412450145
